3.0.00.00.00	Despesas Correntes
3.1.00.00.00	Pessoal e Encargos Sociais
3.1.71.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio 
3.1.71.70.00	Rateio pela Participação em Consórcio Público 
3.1.71.99.00	A Classificar
3.1.73.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Tratam os §§1° e 2° do Art. 24 da Lei Complementar n° 141, de 2012
3.1.73.70.00	Rateio pela Participação em Consórcio Público 
3.1.73.99.00	A classificar 
3.1.74.00.00	Transferências a Consórcios Públicos Mediante Contrato de Rateio à Conta de Recursos de que Trata o Art. 25 da Lei Complementar n° 141, de 2012 
3.1.74.70.00	Rateio pela Participação em Consórcio Público 
3.1.74.99.00	A classificar 
3.1.90.00.00	Aplicações Diretas
3.1.90.01.00	Aposentadorias, Reserva Remunerada e Reformas
3.1.90.01.01	Aposentadorias Custeadas com Recursos do RPPS 
3.1.90.01.02	Aposentadorias Custeadas com Recursos Ordinários do Tesouro 
3.1.90.01.01	Proventos - Pessoal Civil
3.1.90.01.06	13 Salário - Pessoal Civil
3.1.90.01.18	Licença Prêmio Para Inativo Civil
3.1.90.01.51	Adicionais, Vantagens, Gratificações E Outros Complementos De Proventos - Pessoal Civil
3.1.90.01.99	Outros Proventos - Pessoal Civil
3.1.90.03.00	Pensões
3.1.90.03.01	Pensões Custeadas com Recursos do RPPS
3.1.90.03.02	Pensões Custeadas com Recursos Ordinários do Tesouro 
3.1.90.03.01	Pensões Civis
3.1.90.03.03	13 Salário - Pensões Civis
3.1.90.03.05	Pensões Especiais - Pessoal Civil
3.1.90.03.51	Adicionais, Vantagens, Gratificações E Outros Complementos De Pensões - Pessoal Civil
3.1.90.03.99	Outras Pensões - Civis
3.1.90.04.00	Contratação por Tempo Determinado
3.1.90.04.01	Salário Contrato Temporário
3.1.90.04.10	Serviço Extraordinário - Contrato Temporário
3.1.90.04.13	13° Salário - Contrato Temporário
3.1.90.04.14	Férias - Abono Constitucional - Contrato Temporário
3.1.90.04.15	Obrigações Patronais - Contrato Temporário
3.1.90.04.51	Adicionais de Contrato Temporário
3.1.90.04.99	Outras Contratações por Tempo Determinado
3.1.90.07.00	Contribuições a Entidades Fechadas de Previdência
3.1.90.08.00	Outros Benefícios Assistenciais do Servidor e do Militar 
3.1.90.11.00	Vencimentos e Vantagens Fixas – Pessoal Civil
3.1.90.11.01	Vencimentos e Salários
3.1.90.11.06	Subsídio de Vereador
3.1.90.11.07	Subsídio de Prefeito
3.1.90.11.08	Subsídio de Vice-prefeito
3.1.90.11.09	Subsídio de Secretário Municipal
3.1.90.11.10	Subsídio de Presidente da Câmara
3.1.90.11.11	Empregado Público
3.1.90.11.12	Remuneração de Membros de Conselhos
3.1.90.11.42	Férias Vencidas e Proporcionais
3.1.90.11.43	13° Salário 
3.1.90.11.44	Férias - Abono Pecuniário
3.1.90.11.45	Férias - Abono Constitucional 
3.1.90.11.50	Salário Maternidade
3.1.90.11.52	Licença Saúde
3.1.90.13.00	Obrigações Patronais
3.1.90.13.01	FGTS 
3.1.90.13.02	Contribuição Patronal para o RPPS 
3.1.90.13.03	Contribuição Patronal para o INSS 
3.1.90.13.99	Outras Obrigações
3.1.90.16.00	Outras Despesas Variáveis - Pessoal Civil
3.1.90.67.00	Depósitos Compulsórios
3.1.90.86.00	Compensações a  Regimes de Previdência
3.1.90.91.00	Sentenças Judiciais 
3.1.90.91.01	Sentenças Judiciais de Pessoal Ativo 
3.1.90.91.02	Sentenças Judiciais de Inativos e Pensionistas Custeadas com Recursos do RPPS
3.1.90.91.03	Sentenças Judiciais de Inativos e Pensionistas Custeadas com Recursos Ordinários do Tesouro
